Account No,Organisation,City,Country,Region,Access,C40,Reporting year,Risks to city’s water supply,​Timescale,Magnitude,Risk description,Current population,Population year,City location,Country location
31052,City of Cardiff,Cardiff,United Kingdom,Europe,Public,,2017,Flooding,Medium-term,Serious,Hotter and drier summers are forecast in the UK Climate Risks Assessment 2017 - Summary for Wales. This will lead to increased water stress and scarcity.,354300,2014,"(51.481581, -3.17909)","(55.378051, -3.435973)"
35755,Village of Kadiovacik,Kadiovacik,Turkey,Europe,Public,,2017,Flooding,Medium-term,Serious,,218,2017,"(38.3434574, 26.553613)","(38.963745, 35.243322)"
55799,"City of Arlington, VA","Arlington, VA",USA,North America,Public,,2017,Flooding,Medium-term,Less serious,"Uncertainty concerning drought and storm patterns may lead to increased fluctuations in water availability at the same time the population is growing in the region with concurrent increased demand for water. Water efficiency programming helps, but population growth remains robust.",220400,2016,"(37.226486, -76.002594)","(37.09024, -95.712891)"
54114,City of Asheville,Asheville,USA,North America,Public,,2017,Flooding,Short-term,Extremely serious,North Fork Dam infrastructure needs reinforcements and repairs. These concerns are being addressed and worked on currently.,87882,2014,"(35.5951, -82.5515)","(37.09024, -95.712891)"
61876,Mazabuka Municipal Council,Mazabuka,Zambia,Africa,Public,,2017,Higher water prices,Current,Extremely serious,"Inadequate rainfall result into droughts , damaged crops, declining world life and deaths",182205,2016,"(-15.861252, 27.749066)","(-13.133897, 27.849332)"
52897,City of Aspen and Pitkin County,Aspen and Pitkin County,USA,North America,Public,,2017,Flooding,Long-term,Extremely serious,"Increasing dry periods in the Western U.S., decreasing proportion of precipitation falling as snow, and changes to the timing and availability of water could lead to an increase in flooding due to the changes to timing and volume of peak flows.",8427,2010,"(39.195, -106.837)","(37.09024, -95.712891)"
73293,"City of LaGrange, MO","LaGrange, MO",USA,North America,Public,,2017,Flooding,Medium-term,Serious,At this time the city has looped lines that do not have much flow. Due to slow flow the water quality in these locations needs to be addressed.,931,2010,"(40.042824, -91.497654)","(37.09024, -95.712891)"
49787,City of Benicia,Benicia,USA,North America,Public,,2017,Flooding,Short-term,Serious,"On May 5, 2016, the City Council adopted Resolution No. 16-44, which set forth the City’s 
intent to increase the utility rates in the Water and Wastewater funds and set the public hearing date for May 24, 2016.  This hearing date was rescheduled to allow time for additional public outreach.",27450,2014,"(38.049365, -122.1585777)","(37.09024, -95.712891)"
54046,City of Brownsville,Brownsville,USA,North America,Public,,2017,Flooding,Short-term,Less serious,"A continuing risk to Brownsville's water supply is the water deficit accrued by Mexico under the 1944 Treaty authorizing water-sharing between the two nations for the Colorado River and the Rio Grande. The loss of irrigation water in the Lower Rio Grande Valley of Texas endangers 4,840 jobs and reduces agricultural output by approximately $395,000,000 annually. The lack of water also harms the ability of municipal users to supply water to families and businesses. Recently Mexico has replenished most of its water debt, which elevates current problems, but future draughts will affect water levels.",183887,2015,"(25.9017, -97.4975)","(37.09024, -95.712891)"
55800,City of Cambridge,Cambridge,USA,North America,Public,,2017,Flooding,Medium-term,Serious,"The City’s Alewife-Fresh Pond area will be the most impacted area by flooding from sea level rise/storm surge. 
If flooding reaches Fresh Pond it may cause contamination of the City's  drinking water from salt water and other pollutants carried by flood waters.",109694,2014,"(45.601, -93.327333)","(37.09024, -95.712891)"
43910,City of Columbus,Columbus,USA,North America,Public,,2017,Flooding,Medium-term,Serious,"Increased nutrient/pesticide/ herbicide load due to extended growing season, increased algal blooms. Increased watershed and stream bank erosion.Increased organics, nutrients, turbidity, sediment, and other pollutant loads.",850106,2016,"(39.9611755, -82.9987942)","(37.09024, -95.712891)"
35860,City of Dallas,Dallas,USA,North America,Public,,2017,Flooding,Medium-term,Serious,May impact the economic health of the city,1257676,2013,"(32.7801399, -96.8004511)","(37.09024, -95.712891)"
54108,City of Durham,Durham,USA,North America,Public,,2017,Flooding,Medium-term,Serious,We have not studied this.  My answer is just educated guess.,250815,2015,"(35.994, -78.8986)","(37.09024, -95.712891)"
55418,City of Huntington Beach,Huntington Beach,USA,North America,Public,,2017,Flooding,Medium-term,Serious,The City relies on imported water supplies in addition to groundwater.  As the drought continues the City will have to rely more on the groundwater which is in an adjudicated basin and requires that water be injected back in so that subsidence does not occur.  Imported water is $979 per an acre foot which has risen dramatically over the past few years as imported deliveries were cut.,202498,2016,"(33.6603, -117.9992)","(37.09024, -95.712891)"
54075,City of Lakewood,Lakewood,USA,North America,Public,,2017,Flooding,Medium-term,Less serious,"Changes in the snowpack and in streamflow timing could affect reservoir operations, including flood control and storage. Changes in the timing and magnitude of runoff could affect the functioning of diversion, storage, and conveyance structures.

Warmer temperatures could place higher demands on hydropower facilities for peaking power in summer. Warmer lake and stream temperatures, and earlier runoff, could affect water use for cooling power plants and in other industries.

(Climate Change in Colorado: A Synthesis to Support Water Resources Management and Adaptation, 2014)",152589,2015,"(39.7047, -105.0814)","(37.09024, -95.712891)"
54057,City of Lancaster,Lancaster,USA,North America,Public,,2017,Flooding,Current,Extremely serious,Severe drought has placed water restrictions on our community. There is a de facto moratorium on most new buildings.,161000,2015,"(40.0379, -76.3055)","(37.09024, -95.712891)"
10495,City of Las Vegas,Las Vegas,USA,North America,Public,,2017,Flooding,Current,Less serious,"Water restrictions have led to more conservation; however, if Lake Mead continues to decline, a Federally mandated cut in Southern Nevada's water allocation may occur, and nearly did during the 2015-2016.",640174,2016,"(36.1699412, -115.1398296)","(37.09024, -95.712891)"
35870,City of Miami,Miami,USA,North America,Public,,2017,Flooding,Current,Extremely serious,,413892,2014,"(25.7617, -80.1918)","(37.09024, -95.712891)"
55419,City of Miramar,Miramar,USA,North America,Public,,2017,Flooding,Medium-term,Serious,Salt water intrusion can strongly effect our drinking water.,134037,2016,"(25.986076, -80.30356)","(37.09024, -95.712891)"
50560,City of Oakland,Oakland,USA,North America,Public,,2017,Flooding,Current,Serious,"The City’s utility, East Bay Municipal Utility District declared a stage 4 drought. Temporary drought surcharges of up to 25% on water flow charges and excessive water use penalty went into effect in 2015. Both regulations were lifted in 2016.",419000,2015,"(37.8044, -122.2708)","(37.09024, -95.712891)"
54650,Prefeitura de Palmas,Palmas,Brazil,Latin America,Public,,2017,Inadequate or aging infrastructure,Long-term,Serious,Possivelmente os córregos ficaram secos,279856,2016,"(-10.249091, -48.324286)","(-14.235004, -51.92528)"
14344,"City of Park City, UT","Park City, UT",USA,North America,Public,,2017,Flooding,Medium-term,Serious,"While last winter saw much snowfall which recharged our local aquifers to a certain extent, Utah has been in a drought since 2011. Expected higher temperatures for the foreseeable future create the conditions for continued water stress and drought.",7873,2012,"(40.6461, -111.498)","(37.09024, -95.712891)"
49334,"City of Richmond, VA","Richmond, VA",USA,North America,Public,,2017,Flooding,Medium-term,Serious,Older infrastructure,220289,2015,"(37.540725, -77.436048)","(37.09024, -95.712891)"
55324,Município de Guimarães,Guimarães,Portugal,Europe,Public,,2017,Higher water prices,Long-term,Extremely serious,"Increase in the number of flood events and more widespread, with predictable changes in urban watercourses management and affecting the water quality.",154920,2015,"(41.444266, -8.292241)","(39.399872, -8.224454)"
54110,City of Santa Monica,Santa Monica,USA,North America,Public,,2017,Flooding,Medium-term,Less serious,"Santa Monica's primary source of groundwater is supplied by local rainfall and snowmelt in the Santa Monica mountain region. This area, as much of California, experiences fluctuations in precipitation and snowfall. California's historic drought is ending, but climate change may impact the region's groundwater supplies.",92000,2014,"(34.0219, -118.4814)","(37.09024, -95.712891)"
59595,"City of Brisbane, CA","Brisbane, CA",USA,North America,Public,,2017,Flooding,Long-term,Less serious,"According to the County's recently published Sea Level Rise Vulnerability Assessment, portions of 101 will be affected by flooding.",4603,2015,"(37.6808, -122.4)","(37.09024, -95.712891)"
59540,"City of Elgin, IL","Elgin, IL",USA,North America,Public,,2017,Flooding,Short-term,Less serious,,110000,2010,"(42.060386, -88.26297)","(37.09024, -95.712891)"
31112,Kaohsiung City Government,Kaohsiung,Taiwan,East Asia,Public,,2017,Flooding,Short-term,Serious,"Kaohsiung city’s water supply relies on river flow and rainwater. The rain falls into the river catchment area. If these areas are not able to have rain for one season or even longer, it would cause water supply crunch.",2779371,2016,"(22.629705, 120.343804)","(23.69781, 120.960515)"
31446,Taipei City Government,Taipei,Taiwan,East Asia,Public,,2017,Flooding,Short-term,Less serious,"The number of typhoons and torrential rain and rainfall increases, resulting in increased degree of raw water turbidity.",2695704,2016,"(25.037525, 121.563782)","(23.69781, 120.960515)"
49359,City of Harare,Harare,Zimbabwe,Africa,Public,,2017,Flooding,Current,Serious,Reduced rainfall result in water scarcity,2424420,2017,"(-17.828432, 30.932822)","(-19.015438, 29.154857)"
35877,City of Pittsburgh,Pittsburgh,USA,North America,Public,,2017,Flooding,Short-term,Extremely serious,"locks and dams keep the river artificially high, but they are decades past their life expectancy, and if the lock downstream fails, the City's only potable water intake at the water treatment plant will not be able to draw in water.",305704,2016,"(40.4406248, -79.9958864)","(37.09024, -95.712891)"
49787,City of Benicia,Benicia,USA,North America,Public,,2017,Higher water prices,,,,27450,2014,"(38.049365, -122.1585777)","(37.09024, -95.712891)"
35877,City of Pittsburgh,Pittsburgh,USA,North America,Public,,2017,Flooding,Current,Serious,"Pittsburgh struggles with combined sewer overflows, and a tenth of an inch of rain releases raw sewage into the rivers. There are also aging railroad tracks along all of the rivers with trains carrying hazardous and toxic materials. If a train derails, it could contaminate the water",305704,2016,"(40.4406248, -79.9958864)","(37.09024, -95.712891)"
35274,"City of Portland, ME","Portland, ME",USA,North America,Public,,2017,Flooding,Long-term,Serious,The city's water supply comes from a large lake.  It will take vigilance to protect its quality.,66666,2014,"(43.6615, -70.2553)","(37.09024, -95.712891)"
58310,City of Roanoke,Roanoke,USA,North America,Public,,2017,Flooding,Current,Extremely serious,"The waterways in Roanoke are all considered impaired. Restoring riparian areas, addressing stormwater run-off and reducing non-source point pollution is an important focus for the city. The majority of this responsibility falls to the office of Environmental Management and the Stormwater Division.",98465,2013,"(37.271, -79.9414)","(37.09024, -95.712891)"
58357,City of West Hollywood,West Hollywood,USA,North America,Public,,2017,Flooding,Current,Serious,"California is recovering from an unprecedented drought, and water resources are increasingly scarce at a regional scale.  Increased efforts to conserve and reuse water will be necessary in the coming years.  West Hollywood receives water from the Los Angeles Department of Water and Power as well as from Beverly Hills Water.",34399,2010,"(34.09, -118.3617)","(37.09024, -95.712891)"
63607,Alcaldía de Córdoba,"Córdoba, Venezuela",Venezuela,Latin America,Public,,2017,Flooding,Short-term,Serious,CAPTACIONES SUCEPTIBLES A INUNDACIONES Y DESLIZAMIENTOS DE TIERRA,35374,2011,"(7.5447, -72.2837)","(6.42375, -66.58973)"
54066,City of Fort Collins,Fort Collins,USA,North America,Public,,2017,Flooding,,Serious,"Historically, the Fort Collins water supply has been at risk from drought. It is anticipated that drought events will continue in the future and be further exacerbated by climate change. An ongoing reduction in snow pack due to higher average temperatures, which is the primary source of water supply for our region, is a newer risk. Climate models do not agree on the impacts to precipitation, but not having an adequate level of snow is likely to be a substantive challenge in the coming decades.",161000,2016,"(40.5853, 105.0844)","(37.09024, -95.712891)"
59631,"City of San Leandro, CA","San Leandro, CA",USA,North America,Public,,2017,Flooding,Medium-term,Less serious,"East Bay Municipal Utilities District (EBMUD) Water Supply Management Program 2040 on page 4-20, Climate Change Sensitivity Analysis Summary, states that there will be:

Demand increase reflecting increased outdoor water use resulting from temperature increases;",88441,2015,"(37.72493, -122.156077)","(37.09024, -95.712891)"
59633,"City of Santa Cruz, CA","Santa Cruz, CA",USA,North America,Public,,2017,Flooding,Long-term,Extremely serious,Long periods of no rain.,64220,2015,"(36.974117, -122.030796)","(37.09024, -95.712891)"
70247,Hsinchu City Government,Hsinchu City,Taiwan,East Asia,Public,,2017,Flooding,Current,Less serious,Water scarcity will worsen public's life quality. Climate change has led to an increase in strong rainfall frequency and may accelerate sedimentation. So that the proportion of sewage pollution would be higher. Rising temperatures may aggravate the problem of water scarcity,438322,2017,"(24.807345, 120.968248)","(23.6978, 120.9605)"
62864,"City of Lancaster, PA","Lancaster, PA",USA,North America,Public,,2017,Higher water prices,Current,Serious,"Oil/gas spills, fracking fluids, development around the Susquehanna River Water Basin.",60000,2016,"(40.037875, -76.305514)","(37.09024, -95.712891)"
31154,Bogotá Distrito Capital,Bogotá ,Colombia,Latin America,Public,C40,2017,Flooding,Medium-term,Serious,"The risk varies for each process component: Collection, adduction, treatment, storage and distribution. A risk assessment is performed based on the threat analysis (40%) and vulnerability assessment (60%). The impact may be in the short, medium and long term. Given the combination of the above mentioned risks can contribute to occur a decrease in water quality.",7980001,2016,"(4.711, -74.0721)","(4.570868, -74.297333)"
31176,Prefeitura do Rio de Janeiro,Rio de Janeiro,Brazil,Latin America,Public,C40,2017,Flooding,Current,Serious,"The latest IPCC report forecasts increased rainfall for the Southeast of Brazil. In such case, we predict flooding in the region of the Guandu water treatment plant. In the case of landslides, mudslides or flooding, the waters of the river could be taken up by mud, which would make the treatment of the water slower and more expensive, with possible interruptions in the distribution. 

The reservoire does not border the city of Rio de Janeiro, therefore work on flood prevention must be done by bordering municipalities, state or federal government.",6498837,2016,"(-22.9054389, -43.5614471)","(-14.235004, -51.92528)"
42120,City of Salvador,Salvador,Brazil,Latin America,Public,C40,2017,Flooding,Short-term,Serious,"The Capture  of natural resources is  an increasingly distant from the urban center, which may cause an increase of investment  of those companies which are   responsible for supplying water to the city. This could directly reflect  to the  consumer citizen.",2902927,2014,"(-12.97304, -38.502304)","(-14.235004, -51.92528)"
50782,Dhaka City,Dhaka,Bangladesh,South and West Asia,Public,C40,2017,Flooding,Short-term,Serious,Increases water born diseases,14543124,2011,"(23.810332, 90.412518)","(23.685, 90.3563)"
31115,City of Johannesburg,Johannesburg,South Africa,Africa,Public,C40,2017,Flooding,Current,Extremely serious,A crippling drought that was associated with El nino affected severely South Africa's summer rainfall regions including Johannesburg. Dam levels were at critical low levels such that water restrictions had to be imposed and penalties be effected on those who use excessive water.,4900000,2016,"(-26.2041028, 28.0473051)","(-30.559482, 22.937506)"
50782,Dhaka City,Dhaka,Bangladesh,South and West Asia,Public,C40,2017,Higher water prices,Current,Less serious,,14543124,2011,"(23.810332, 90.412518)","(23.685, 90.3563)"
31168,City District Government Karachi,Karachi,Pakistan,South and West Asia,Public,C40,2017,Flooding,Current,Extremely serious,"water riots expected, the 1 Billion gallon per day  requirement is met through 600 Mgd",25000000,2014,"(24.910812, 67.128098)","(30.375321, 69.345116)"
54364,City of Kuala Lumpur,Kuala Lumpur,Malaysia,South Asia and Oceania,Public,C40,2017,Flooding,Short-term,Less serious,Kuala Lumpur is too depended on Selangor and Pahang for its water supply 64% and 36% is currently sourced from water catchment area.,1890000,2015,"(3.139003, 101.686855)","(4.210484, 101.975766)"
35904,Kolkata Metropolitan Area,Kolkata,India,South and West Asia,Public,C40,2017,Flooding,Short-term,Serious,53% of the boroughs within Kolkata Municipal Corporation show a ground water level decline of 0.13 mts per year.,14030000,2011,"(22.5726, 88.3639)","(20.593684, 78.96288)"
31173,Comune di Milano,Milano,Italy,Europe,Public,C40,2017,Flooding,Medium-term,Serious,,1359905,2015,"(45.802578, 9.086356)","(41.87194, 12.56738)"
36002,Ville de Kinshasa,Ville de Kinshasa,Democratic Republic of Congo,Africa,Public,,2017,Higher water prices,Short-term,Serious,The company in charge of water distribution is frequently obliged to stop water supply to those customers who are unable to pay. .,10000000,2017,"(-4.441931, 15.266293)","(-4.038333, 21.758664)"
50559,"City of St Catharines, ON","St Catharines, ON",Canada,North America,Public,,2017,Higher water prices,Short-term,Less serious,Additional funds are required to replace the aging watermain infrastructure. This will put additional pressure on water rates and may lead to higher prices.,131400,2014,"(43.1594, -79.2469)","(56.130366, -106.346771)"
32480,City of Adelaide,Adelaide,Australia,South Asia and Oceania,Public,,2017,Higher water prices,Short-term,Serious,The need to supplement water supplies from desalination may increase water prices.,23615,2016,"(-34.928499, 138.600746)","(-25.274398, 133.775136)"
35848,Municipality of Belo Horizonte,Belo Horizonte,Brazil,Latin America,Public,,2017,Higher water prices,Short-term,Serious,More intense rains causing longer drought periods,2513451,2016,"(-19.916681, -43.934493)","(-14.235004, -51.92528)"
35897,Municipality of Campinas,Campinas,Brazil,Latin America,Public,,2017,Higher water prices,Current,Serious,"Due to climate change, more frequent occurrence of extreme hydrological events exposes the fragility of resource management. In addition, with the reduced availability of water, there is a higher concentration of pollutants, thus affecting the quality of flow.",1142620,2016,"(-22.744027, -46.937174)","(-14.235004, -51.92528)"
54614,Prefeitura da Cidade de São José do Rio Preto,São José do Rio Preto,Brazil,Latin America,Public,,2017,Higher water prices,Medium-term,Less serious,Entende-se que o crescimento da população leve ao estresse hídrico devido ao aumento da demanda pelos recursos hídricos.,442548,2015,"(-20.811761, -49.376227)","(-14.235004, -51.92528)"
54575,Vhembe District Municipality,Vhembe,South Africa,Africa,Public,,2017,Higher water prices,Short-term,Serious,Drought,1294722,2011,"(-22.769551, 29.974053)","(-30.559482, 22.937506)"
36043,Abuja Federal Capital Territory,Abuja,Nigeria,Africa,Public,,2017,Increased water stress or scarcity,Medium-term,Serious,,2440000,2017,"(9.076479, 7.398574)","(9.081999, 8.675277)"
52638,Prefeitura de Aracaju,Aracaju,Brazil,Latin America,Public,,2017,Higher water prices,Long-term,Less serious,"Corre-se o risco de diminuição da oferta de água, tanto para o consumo humano como para produção de energia. Isso poderá acarretar no aumento do valor do recurso e onerar custo de produção. Custo que consequentemente serão repassados para a população.",641523,2016,"(-10.947247, -37.073082)","(-14.235004, -51.92528)"
50391,Prefeitura de Manaus,Manaus,Brazil,Latin America,Public,,2017,Higher water prices,Medium-term,Extremely serious,"Pelo gradual aumento da poluição do principal manancial de que é captada a água para o abastecimento da cidade, as tecnologias para melhorar a qualidade da água distribuída tem contribuído para o aumento  do valor da conta cobrada à população consumidora.",2057711,2016,"(-3.119028, -60.021731)","(-14.235004, -51.92528)"
50383,Prefeitura de Sorocaba,Sorocaba,Brazil,Latin America,Public,,2017,Higher water prices,,,"Most of the water consumed in the county comes from wealth located outside the territory of the municipality. It is a reservoir with water of good quality, which reduces the cost of treatment. However, in recent monitoring, it is noted that the water quality is declining. Among the causes are the dumping of sewage from other municipalities in water bodies that supply the reservoir. There is already a Watershed Plan, which envisages the need for sewage treatment in municipalities.",652481,2016,"(-23.4774899, -47.4220615)","(-14.235004, -51.92528)"
50794,Prefeitura Municipal de Caieiras,Caieiras,Brazil,Latin America,Public,,2017,Higher water prices,Current,Extremely serious,"Em decorrência das fortes chuvas, o município sofreu graves inundações que ocasionaram realocação de famílias e agravamento das áreas de risco.",95780,2015,"(-23.36122, -46.740187)","(-14.235004, -51.92528)"
54703,Prefeitura Municipal de Mairiporã,Mairiporã,Brazil,Latin America,Public,,2017,Higher water prices,Long-term,Serious,Perda ou contaminação de nascentes causadas por desmatamento irregular,90000,2015,"(-23.317956, -46.588517)","(-14.235004, -51.92528)"
54104,City of Boulder,Boulder,USA,North America,Public,,2017,Higher water prices,Long-term,Extremely serious,"In the event of prolonged drought, Boulder’s hydropower production and supply could be negatively impacted. Further, water scarcity would impact the operation of our water treatment plant and overall water availability to the community, particularly in the form of water/irrigation limitations.",107167,2015,"(40.0274, -105.2519)","(37.09024, -95.712891)"
60387,Alcaldíade Sincelejo,Sincelejo,Colombia,Latin America,Public,,2017,Higher water prices,Short-term,Less serious,"a medida que se sobre explotan los acuiferos y su explotacion es mas profuna se corre el riesgo de ser mas contaminada por otros elementos, por otro lado el no tomar la medida de proteccion necesaria en las zonas de recarga de los acuiferos, los hace vulnerable a cualquier tipo de contaminacion por infiltracion, es por ello que en el Plan de Desarrrollo Municipal se tienen el Proyecto de Areas Protegidas que sería una posibilidad de declarar esas areas para garantizar su conservacion y por ende la proteccion de una zona de recarga, se tienen pensado en este cuatrenio declarar 1000 hectareas de areas protegidas. de 4000 que tiene la zona de recarga en la ciudad de Sincelejo.",275207,2015,"(9.304577, -75.390557)","(4.570868, -74.297333)"
60287,Prefeitura de Feira de Santana,Feira de Santana,Brazil,Latin America,Public,,2017,Inadequate or aging infrastructure,Medium-term,Extremely serious,Aumento da seca na região e redução dos níveis dos reservatórios de água potável.,556642,2010,"(-12.259727, -38.964661)","(-14.235004, -51.92528)"
60373,Alcaldía de Ríohacha,Ríohacha,Colombia,Latin America,Public,,2017,Higher water prices,Short-term,Extremely serious,"En la temporadas de lluvias se generan afectaciones en la planta de tratamiento de agua potable , debido a que generalmente la presion del rio destruye la bocatoma, ademas de esto se aumenta de manera significativa la prsencia de solidos suspendidos, evitando el suministro normal del agua en el casco urbano del Distrito de Riohacha.",277868,2017,"(11.441777, -72.909865)","(4.5709, -74.2973)"
50380,Municipio de Bucaramanga,Bucaramanga,Colombia,Latin America,Public,,2017,Higher water prices,Long-term,Extremely serious,"In the irrigation management manual of the Bucaramanga Metropolitan Aqueduct, RISK 7 is contemplated. SUSPENSION OF THE SERVICE PER SUMMER THAT AFFECTS THE RELIABLE MINIMUM
 
The causes that can give rise to this risk are: the climatological changes and the non-fulfillment of the putting into operation of the Reservoir of Bucaramanga. For this the amb has performed reliability studies of the system (minimum reliable), which have yielded encouraging results; However the climatic changes can affect the studies carried out and cause rationing.",528269,2016,"(7.110349, -73.122742)","(4.5709, -74.2973)"
69973,Alcaldia de Barrancabermeja,Barrancabermeja,Colombia,Latin America,Public,,2017,Higher water prices,Medium-term,Serious,Disminución de capacidad de embalse de los cuerpos de Agua.,191768,2015,"(7.060668, -73.872399)","(4.5709, -74.2973)"
54498,Ayuntamiento de Murcia,Murcia,Spain,Europe,Public,,2017,Higher water prices,Current,Serious,,439902,2015,"(37.799013, -1.00495)","(40.463667, -3.74922)"
50680,Cascais,Cascais,Portugal,Europe,Public,,2017,Higher water prices,Medium-term,Serious,Climate scenarios suggest a trend to rainfall events which is a cause to flood problems.,208122,2014,"(38.6970565, -9.4222945)","(39.399872, -8.224454)"
49363,Nelson Mandela Bay Municipality,Nelson Mandela Bay ,South Africa,Africa,Public,,2017,Higher water prices,Current,Serious,The city has had to employ several hundred plumbers in order to deal with leaking pipes etc.,1152115,2011,"(-33.745241, 25.568108)","(-30.559482, 22.937506)"
19233,Torres Vedras Municipality,Torres Vedras ,Portugal,Europe,Public,,2017,Higher water prices,Short-term,Serious,"urban floods
traffic conditioning, road closures
damage to buildings
vehicle damage
people displaced of housing",79465,2011,"(38.763669, -9.30148)","(39.399872, -8.224454)"
60140,City of Nakuru,Nakuru,Kenya,Africa,Public,,2017,Higher water prices,Current,Serious,high fluoride content in Nakuru county,369839,2017,"(-0.303099, 36.080026)","(-0.023559, 37.906193)"
35848,Municipality of Belo Horizonte,Belo Horizonte,Brazil,Latin America,Public,,2017,Inadequate or aging infrastructure,Medium-term,Serious,more demand because of longer drought periods,2513451,2016,"(-19.916681, -43.934493)","(-14.235004, -51.92528)"
54388,Iskandar Regional Development Authority,Iskandar ,Malaysia,South Asia and Oceania,Public,,2017,Higher water prices,Medium-term,Serious,"Projected water supply for both industry and residents was good during the initial planning of the region in 2005. 10 years, projections are being revised due to the unanticipated rapid development.",1945000,2016,"(5.714476, 100.992084)","(4.210484, 101.975766)"
35875,Heroic Puebla of Zaragoza,Heroic Puebla of Zaragoza,Mexico,Latin America,Public,,2017,Higher water prices,,Less serious,diseases for the population; increased budget for water hardness dismunir,1539819,2010,"(19.041297, -98.2062)","(23.634501, -102.552784)"
50381,Municipio de Torreón,Torreón,Mexico,Latin America,Public,,2017,Higher water prices,Current,Extremely serious,extracting water from deeper wells makes it less efficient and therefore  more expensive,639629,2010,"(25.542844, -103.406786)","(23.634501, -102.552784)"
54345,City Government of Davao,Davao,Philippines,South Asia and Oceania,Public,,2017,Higher water prices,Current,Serious,,1632991,2015,"(7.074755, 125.624539)","(12.879721, 121.774017)"
59993,City of Olongapo,Olongapo,Philippines,South Asia and Oceania,Public,,2017,Higher water prices,Current,Serious,"Drought condition-1’ or mild drought. Water supply short by 12%. April 19, 2017 declared by Subic Water and Sewerage Co, Inc.",240270,2016,"(14.83863, 120.284202)","(12.879721, 121.774017)"
52897,City of Aspen and Pitkin County,Aspen and Pitkin County,USA,North America,Public,,2017,Higher water prices,Long-term,Extremely serious,"Increasing dry periods in the Western U.S., decreasing proportion of precipitation falling as snow, and changes to the timing and availability of water could lead to declining water quality due to wildfire run-off and/or changes to ecological regimes.",8427,2010,"(39.195, -106.837)","(37.09024, -95.712891)"
49787,City of Benicia,Benicia,USA,North America,Public,,2017,Higher water prices,Current,Extremely serious,See above.,27450,2014,"(38.049365, -122.1585777)","(37.09024, -95.712891)"
50550,City of Buffalo,Buffalo,USA,North America,Public,,2017,Higher water prices,Long-term,Serious,"Emerging contaminants such as pharmaceuticals and ecological concerns, such as toxic blue green algae.",258071,2015,"(42.8864, -78.8784)","(37.09024, -95.712891)"
35857,City of Cincinnati,Cincinnati,USA,North America,Public,,2017,Higher water prices,Medium-term,Less serious,"In water treatment, increased output regulations make it difficult to meet all regulations effectively on a limited budget. Similarly, in wastewater treatment, Ohio's Consent Decree to remediate combined sewer discharges effectively increases GHG emissions, because more processes requiring high energy usage are necessary.",298550,2015,"(39.1031, -84.512)","(37.09024, -95.712891)"
35857,City of Cincinnati,Cincinnati,USA,North America,Public,,2017,Higher water prices,Short-term,Serious,"EPA-established MACT Standards for Sewage Sludge Incinerators, which will go into effect in 2015, set numeric emissions limits for mercury, particles, and other pollutants from new and existing sewage sludge incinerators (SSIs). To meet the new standards, the Cincinnati MSD facility will likely need to install air pollution control devices such as high-efficiency scrubbers in their SSIs.",298550,2015,"(39.1031, -84.512)","(37.09024, -95.712891)"
54113,City of Flagstaff,Flagstaff,USA,North America,Public,,2017,Higher water prices,Long-term,Serious,"Flagstaff is reliant on a substantial amount of groundwater, which will run out if our population continues to grow long-term.",68667,2013,"(35.1992, -111.6311)","(37.09024, -95.712891)"
54078,City of Hayward,Hayward,USA,North America,Public,,2017,Higher water prices,Current,Serious,Prices have increased due to drought.,158985,2016,"(37.6689, -122.0808)","(37.09024, -95.712891)"
54075,City of Lakewood,Lakewood,USA,North America,Public,,2017,Higher water prices,Medium-term,Serious,"Current water prices do not reflect the current demand, which would be exacerbated by climate change.",152589,2015,"(39.7047, -105.0814)","(37.09024, -95.712891)"
10495,City of Las Vegas,Las Vegas,USA,North America,Public,,2017,Higher water prices,Medium-term,Less serious,"Most of the Southern Nevada water system is relatively new; however, as the system ages, there is an issue of maintenance costs. A third intake has had to be constructed as well as a connection between treatment plants in the event water levels decline to the point water cannot be drawn from one of the two other intakes at higher lake elevations.",640174,2016,"(36.1699412, -115.1398296)","(37.09024, -95.712891)"
50551,City of Long Beach,Long Beach,USA,North America,Public,,2017,Higher water prices,Current,Serious,,484958,2016,"(33.7701, -118.1937)","(37.09024, -95.712891)"
54085,City of Savannah,Savannah,USA,North America,Public,,2017,Higher water prices,Short-term,Serious,"In 2013, through the Emergency Management Program, the City partnered with the Georgia Department of Natural Resources - Coastal Resource Division and the Georgia Emergency Management agendcy to address flooding issues.  Savannah is a low-lying area that is greatly impacted by the coastal tides and has experienced serious floods in the past due to impeded drainage after a significant rain event due to high tides.",145674,2015,"(32.0835, -81.0998)","(37.09024, -95.712891)"
60898,Ayuntamiento de Naucalpan de Juárez,Naucalpan de Juárez,Mexico,Latin America,Public,,2017,Increased water stress or scarcity,Medium-term,Less serious,Demanda por mayor calidad,844219,2015,"(19.463084, -99.245302)","(23.634501, -102.552784)"
31181,City of Philadelphia,Philadelphia,USA,North America,Public,C40,2017,Inadequate or aging infrastructure,Current,Serious,,1555072,2015,"(39.952335, -75.163789)","(37.09024, -95.712891)"
